x_value,y_value,heading_value
6.17272,7.35135,0.223058
6.22153,7.36221,0.214724
6.27043,7.37266,0.206391
6.31941,7.3827,0.198058
6.36847,7.39234,0.189724
6.41761,7.40156,0.181391
6.46683,7.41038,0.173058
6.51612,7.41878,0.164724
6.56547,7.42677,0.156391
6.61489,7.43436,0.148058
6.66438,7.44153,0.139724
6.71392,7.44828,0.131391
6.76352,7.45463,0.123058
6.81316,7.46056,0.114724
6.86286,7.46607,0.106391
6.91259,7.47118,0.0980577
6.96237,7.47587,0.0897244
7.01219,7.48014,0.0813911
7.06204,7.484,0.0730578
7.11192,7.48744,0.0647244
7.16183,7.49046,0.0563911
7.21176,7.49307,0.0480578
7.26171,7.49527,0.0397245
7.31168,7.49704,0.0313911
7.36167,7.49841,0.0230578
7.41166,7.49935,0.0147245
7.46165,7.49988,0.00639117
7.5,7.5,0
